JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL 
 ALBA,5421,2606,2815,1689,884,805,3732,1722,2010
 ARAD,3162,1598,1564,1101,598,503,2061,1000,1061
 ARGES,8479,3926,4553,1188,733,455,7291,3193,4098
 BACAU,4250,1966,2284,1394,720,674,2856,1246,1610
 BIHOR,5316,2650,2666,1428,879,549,3888,1771,2117
 BISTRITA-NASAUD,4168,2063,2105,1239,674,565,2929,1389,1540
 BOTOSANI,4940,2242,2698,1346,788,558,3594,1454,2140
 BRAILA,5154,2285,2869,1285,784,501,3869,1501,2368
 BRASOV,6800,3015,3785,1731,921,810,5069,2094,2975
 BUZAU,7150,3183,3967,1254,721,533,5896,2462,3434
 CALARASI,4631,2261,2370,1114,624,490,3517,1637,1880
 CARAS-SEVERIN,3140,1449,1691,1290,641,649,1850,808,1042
 CLUJ,5014,2496,2518,1876,1158,718,3138,1338,1800
 CONSTANTA,5880,3609,2271,2420,1715,705,3460,1894,1566
 COVASNA,3948,1817,2131,1120,621,499,2828,1196,1632
 DAMBOVITA,6010,2853,3157,842,466,376,5168,2387,2781
 DOLJ,20406,9313,11093,2759,1503,1256,17647,7810,9837
 GALATI,9446,3875,5571,1460,782,678,7986,3093,4893
 GIURGIU,1878,929,949,364,207,157,1514,722,792
 GORJ,4841,2545,2296,1491,941,550,3350,1604,1746
 HARGHITA,6385,3120,3265,1870,1019,851,4515,2101,2414
 HUNEDOARA,6899,3803,3096,4584,2600,1984,2315,1203,1112
 IALOMITA,4633,2157,2476,1144,586,558,3489,1571,1918
 IASI,10074,4509,5565,1429,772,657,8645,3737,4908
 ILFOV,872,519,353,200,122,78,672,397,275
 MARAMURES,4147,2107,2040,1914,1025,889,2233,1082,1151
 MEHEDINTI,7212,3139,4073,1187,652,535,6025,2487,3538
 MURES,6160,2882,3278,1809,961,848,4351,1921,2430
 NEAMT,8603,3671,4932,1287,716,571,7316,2955,4361
 OLT,7932,3448,4484,1412,830,582,6520,2618,3902
 PRAHOVA,6559,3356,3203,1962,1149,813,4597,2207,2390
 SALAJ,5535,2386,3149,823,449,374,4712,1937,2775
 SATU MARE,6310,3013,3297,1273,713,560,5037,2300,2737
 SIBIU,5493,2590,2903,1520,821,699,3973,1769,2204
 SUCEAVA,12989,5611,7378,3071,1493,1578,9918,4118,5800
 TELEORMAN,10070,4092,5978,1798,851,947,8272,3241,5031
 TIMIS,3638,1980,1658,1483,860,623,2155,1120,1035
 TULCEA,2861,1466,1395,742,436,306,2119,1030,1089
 VALCEA,3631,1845,1786,1353,726,627,2278,1119,1159
 VASLUI,9971,4184,5787,1371,733,638,8600,3451,5149
 VRANCEA,2401,1185,1216,499,272,227,1902,913,989
BUCURESTI,9102,5168,3934,9102,5168,3934,0,0,0
Total TARA ,261511,122912,138599,70224,39314,30910,191287,83598,107689
